Date,Tmax,Tmin,Tavg
"4/11/19",56.000000,42.000000,36.500000
"5/11/19",61.000000,50.000000,58.000000
"6/11/19",55.000000,48.000000,58.000000
"7/11/19",58.000000,42.000000,59.000000
"8/11/19",42.000000,31.000000,36.000000
"9/11/19",42.000000,30.000000,45.500000
"10/11/19",52.000000,39.000000,55.000000
"11/11/19",62.000000,48.000000,42.500000
"12/11/19",58.000000,27.000000,43.500000
"13/11/19",35.000000,24.000000,38.500000
"14/11/19",45.000000,29.000000,45.000000
"15/11/19",52.000000,38.000000,48.500000
"16/11/19",43.000000,33.000000,35.500000
"17/11/19",44.000000,31.000000,40.500000
"18/11/19",43.000000,38.000000,39.000000
"19/11/19",49.000000,41.000000,48.500000
"20/11/19",49.000000,41.000000,48.500000
"21/11/19",53.000000,39.000000,48.000000
"22/11/19",54.000000,39.000000,41.000000
"23/11/19",46.000000,36.000000,40.500000
"24/11/19",48.000000,40.000000,36.000000
"25/11/19",53.000000,41.000000,37.000000
"26/11/19",60.000000,44.000000,47.000000
"27/11/19",58.000000,46.000000,47.000000
"28/11/19",55.000000,39.000000,37.000000
"29/11/19",42.000000,32.000000,45.000000
"30/11/19",44.000000,32.000000,35.500000
"1/12/19",41.000000,30.000000,35.500000
"2/12/19",39.000000,32.000000,35.500000
"3/12/19",38.000000,32.000000,30.000000
"4/12/19",41.000000,34.000000,40.500000
"5/12/19",43.000000,38.000000,39.000000
"6/12/19",50.000000,36.000000,35.500000
"7/12/19",39.000000,32.000000,35.500000
"8/12/19",44.000000,28.000000,45.500000
"9/12/19",56.000000,41.000000,49.000000
"10/12/19",58.000000,40.000000,36.500000
"11/12/19",41.000000,32.000000,36.000000
"12/12/19",36.000000,27.000000,39.500000
"13/12/19",47.000000,32.000000,43.500000
"14/12/19",56.000000,45.000000,40.500000
"15/12/19",50.000000,38.000000,36.000000
"16/12/19",38.000000,34.000000,45.500000
"17/12/19",37.000000,33.000000,30.000000
"18/12/19",37.000000,23.000000,35.500000
"19/12/19",27.000000,18.000000,38.500000
"20/12/19",34.000000,24.000000,28.500000
"21/12/19",35.000000,24.000000,38.500000
"22/12/19",47.000000,30.000000,47.500000
"23/12/19",57.000000,38.000000,42.000000
"24/12/19",48.000000,36.000000,44.500000
"25/12/19",43.000000,34.000000,47.500000
"26/12/19",46.000000,36.000000,40.500000
"27/12/19",54.000000,42.000000,47.000000
"28/12/19",50.000000,44.000000,37.000000
"29/12/19",44.000000,38.000000,40.500000
"30/12/19",43.000000,38.000000,39.000000
End of year,0.000000,0.000000,0.000000
